Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MAAF,1,70-75ans,PC,2251431.93,46039877.2,18804,1280,45889014.19,13629447.4,47101424.4,33379199.9,751472184.0,,,,,,,,
MAAF,1,70-75ans,PP,103045.5214,3734478.93,7350,379,3619718.22,715520.04,4523554.74,2365254.0,56782897.3,,,,,,,,
MAAF,1,75-80ans,Ex PC,6590.75558,598547.57,760,17,593562.73,10000.0,629344.875,370298.987,6630290.89,,,,,,,,
MAAF,1,75-80ans,GP,47939.5106,2780117.42,12095,381,2618073.19,243689.45,3795865.0,2427932.44,41468189.8,,,,,,,,
MAAF,1,75-80ans,PC,571414.4848,18700439.6,10659,485,18647179.36,3788317.69,19055858.4,14903608.0,254602309.0,,,,,,,,
MAAF,1,75-80ans,PP,20437.97819,968851.26,3155,120,937455.24,155896.38,1161638.65,701156.353,12563797.8,,,,,,,,
MAAF,0,0-30ans,NC,270250.8891,0.0,0,0,0.0,0.0,3764162.02,1030251.1,0.0,,,,,,,,
MAAF,0,30-40ans,NC,392757.3842,0.0,0,0,0.0,0.0,5462517.02,1495090.84,0.0,,,,,,,,
MAAF,1,40-50ans,NC,477589.1808,0.0,0,0,0.0,0.0,6622334.03,1812532.9,0.0,,,,,,,,
MAAF,0,50-60ans,NC,460335.8815,0.0,0,0,0.0,0.0,6342580.03,1735964.22,0.0,,,,,,,,
MAAF,1,70-75ans,NC,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
GMF,1,+80ans,GP,173320.8722,26724420.1,115359,2240,26556570.07,124196.0,27642571.2,25217200.2,252688227.0,,,,,,,,
GMF,1,+80ans,PC,669568.4361,87853309.3,60430,1968,87821091.33,1260212.63,88191517.3,87918258.0,823384803.0,,,,,,,,
GMF,1,+80ans,PP,19486.00492,1995086.34,4657,124,1989235.74,72577.0,2026900.48,1759272.3,20454871.7,,,,,,,,
GMF,0,0-30ans,GP,940995.0229,28341058.4,56878,6647,27962562.66,2284196.23,30933905.6,618155.85,544173332.0,,,,,,,,
GMF,0,0-30ans,PC,513473.7974,9886726.53,697,163,9884326.53,776687.8,9923876.79,363917.95,227911460.0,,,,,,,,
GMF,0,0-30ans,PP,40888.00361,1053284.62,991,165,1048634.62,180021.5,1083005.29,13400.831,16781934.7,,,,,,,,
GMF,0,30-40ans,GP,878002.0026,23407890.8,35517,3389,23061200.31,1932747.88,25743609.7,1597483.5,468346657.0,,,,,,,,
GMF,0,30-40ans,PC,1027936.513,16674932.3,1379,334,16673292.28,2001603.4,16719121.5,1561779.3,395240375.0,,,,,,,,
GMF,0,30-40ans,PP,101221.0937,2684777.6,2675,240,2665555.4,364878.91,2809911.58,146993.5,45558963.2,,,,,,,,
GMF,1,40-50ans,GP,1054521.64,23591300.7,34977,3158,23147841.43,2296211.13,26678715.3,4387535.0,527471032.0,,,,,,,,
GMF,1,40-50ans,PC,1843820.419,26488441.0,3277,658,26469022.99,3843720.6,26694682.8,6091647.9,672986075.0,,,,,,,,
GMF,1,40-50ans,PP,252091.7842,5664161.25,6757,605,5535109.15,757468.6,6503452.45,938463.6,114276688.0,,,,,,,,
GMF,0,50-60ans,GP,1647473.823,38144371.3,54502,3779,37164725.8,3274729.06,49818541.0,17948921.0,928146253.0,,,,,,,,
GMF,0,50-60ans,PC,4933297.247,80445851.8,11685,1895,80286617.03,10971277.0,81891537.4,41005339.0,1975162452.0,,,,,,,,
GMF,0,50-60ans,PP,689901.0438,15567206.1,15548,1583,15303998.77,1976160.88,17402647.8,6319495.3,331499150.0,,,,,,,,
GMF,0,60-70ans,GP,2155290.401,61464991.1,115470,5394,59645557.55,5862585.57,83119158.7,47290395.0,1327745210.0,,,,,,,,
GMF,0,60-70ans,PC,9213670.582,191213012.0,49118,4792,191002493.0,30210538.6,193230794.0,142201203.0,3993811690.0,,,,,,,,
GMF,0,60-70ans,PP,1523861.291,44971919.1,47370,4228,44534436.81,5762732.55,48088621.2,26762500.0,825784484.0,,,,,,,,
GMF,1,70-75ans,GP,634261.1343,25894071.5,70436,2467,25141608.62,1822776.93,33927739.7,23813823.0,455058139.0,,,,,,,,
GMF,1,70-75ans,PC,2722039.441,80731614.2,36995,2181,80675180.6,11278710.6,81287163.6,70355846.0,1402986435.0,,,,,,,,
GMF,1,70-75ans,PP,393859.907,16300631.6,21448,1503,16187600.52,1750743.51,17093500.6,11919579.0,256819032.0,,,,,,,,
GMF,1,75-80ans,GP,249636.0807,17203630.1,55304,1949,16999340.53,859921.72,18694798.7,15312060.6,237497724.0,,,,,,,,
GMF,1,75-80ans,PC,906348.7047,40517084.7,24435,1161,40488384.51,4265246.46,40783763.5,38589847.0,586177928.0,,,,,,,,
GMF,1,75-80ans,PP,41424.88882,2627894.78,3734,205,2617829.42,197480.0,2693313.08,2117514.7,34149306.0,,,,,,,,
GMF,0,0-30ans,NC,332222.2515,0.0,0,0,0.0,0.0,4943961.87,1057098.0,0.0,,,,,,,,
GMF,0,30-40ans,NC,483025.3893,0.0,0,0,0.0,0.0,8452204.04,2063769.0,0.0,,,,,,,,
GMF,1,40-50ans,NC,505744.5631,0.0,0,0,0.0,0.0,8255504.56,1908008.0,0.0,,,,,,,,
GMF,0,50-60ans,NC,352768.4924,0.0,0,0,0.0,0.0,5680055.74,1266661.0,0.0,,,,,,,,
GMF,0,60-70ans,NC,97800.23258,0.0,0,0,0.0,0.0,1250115.83,190391.1,0.0,,,,,,,,
GMF,1,70-75ans,NC,13174.83996,0.0,0,0,0.0,0.0,164606.346,20804.94,0.0,,,,,,,,
GMF,1,75-80ans,NC,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DAV,1,+80ans,GP,310216.866436,44166790.57,185794,3649,43646723.019999996,735155.6699999999,47088355.964,39826505.844,391611438.56,,,,,,,,
